Event Name,Start,End,Location,Description,Organizer,Event URL,City
Women Ending the Era of Fossil Fuels and Leading a Just Transition,"September 20, 2023, 05:00 PM","September 20, 2023, 08:00 PM","777 United Nations Plaza, New York, NY 10017","Women Ending the Era of Fossil Fuels and Leading a Just TransitionWednesday, September 20  | 5:00 - 8:00pm ET NYC TimeC﻿hurch Center of the United Nations777 United Nations Plaza, New York, NY 10017E﻿vent details, registration information and more can be found below:We are in a climate emergency, and now more than ever we need to end the era of fossil fuels and advance the solutions of women and gender diverse leaders to ensure a healthy and just planet for current and future generations! As global leaders gather in New York for the UN Climate Ambition Summit and General Assembly, we are calling on governments to reckon with their role in fueling climate chaos, and harm against frontline communities and the planet  by continuing the extraction of fossil fuels . We only have a limited amount of years left to address and mitigate the worst impacts of the  climate crisis.For years, global climate movements have been calling for governments to phase out fossil fuels and stop expansion. We continue to pressure governments, corporations, and financial institutions to adhere to the demands of  science and communities, and implement an immediate equitable phaseout of fossil fuels. Instead, governments must invest in and deploy a Just Transition that is grounded in a climate justice framework and uplifts care economies, community-led solutions, Indigenous rights,  and a different vision than business as usual.During this event, we will host two panels, please see below for descriptions.“Women Ending the Era of Fossil Fuels”During this panel discussion, global women leaders will share expertise and frameworks for transitioning away from extraction and share ongoing policy advocacy and campaigns that seek to phase out fossil fuels, deforestation, and other harmful extractive practices. “Women-led Climate Solutions Are Central to a Just Transition and Thriving  Future”In the second panel we will hear from  global women leaders and policy experts on how to implement and support  solutions that are advancing  a Just Transition. Speakers will share demonstrated successes of women’s leadership in implementing just community-led climate solutions. ------------------------------------------------------------Registration informationRegistration is required. Registering on this page is for access to both events. Registration does not confirm a seat at the event, the events are first come, first serve with doors opening at 4:30pm.

This event is free and open to the public. Importantly, due to security in this part of the city because of the UN General Assembly and Climate Ambition Summit, registration is required. Please remember to have your tickets ready to show security, either in the Eventbrite app or print them out and bring them with you. You also need a government issued ID.

------------------------------------------------------------",https://www.eventbrite.com/o/the-womens-earth-climate-action-network-wecan-international-17434749885,https://www.eventbrite.com/e/women-ending-the-era-of-fossil-fuels-and-leading-a-just-transition-tickets-668489268397,NYC
Eliminating the Effects of Racism on Our Work to Sustain All Life,"September 23, 2023, 10:30 AM","September 23, 2023, 12:00 PM","12 East 41st Street Room 701, New York, NY 10017","Racism has had a deeply damaging and divisive effect on everyone. It has contributed to causing the climate crisis and interferes with our efforts to solve it. It shapes and perpetuates the inequities of our society. It has become part of our social institutions. Unless we address racism, it is replicated in any climate solutions we develop. Yet we can reach for each other and build an united front to tackle the climate crisis together—with renewed energy, collaboration and success. Understanding and healing the effects of racism is a necessary step in creating a movement that can sustain all life and restore the environment. We can act now-- interrupting racism in our daily lives, taking leadership, forming deep relationships across racial lines, removing racism from our societies’ institutions, teaching tools for recovery from the harm done to individuals by racism, and supporting the work of other individuals and organizations in ending racism. ",https://www.eventbrite.co.uk/o/sustaining-all-life-67466229743,https://www.eventbrite.co.uk/e/eliminating-the-effects-of-racism-on-our-work-to-sustain-all-life-tickets-676173000647,NYC
Art Build & Meet-up for upcoming Climate March!,"August 26, 2023, 12:00 PM","August 26, 2023, 03:00 PM","321 Easton Avenue, New Brunswick, NJ 08901","Art Build & Meet-up for upcoming Climate March!	Join us for an exciting **Art Build & Meet-up** event to prepare for the upcoming **Climate March**! This in-person gathering will take place on **Sat Aug 26, 2023** at **12:00 PM (EDT)** at **321 Easton Avenue, New Brunswick, NJ 08901**.	Get ready to unleash your creativity and make a powerful impact through art! This event is a fantastic opportunity to connect with like-minded individuals who are passionate about combating climate change. Together, we will create eye-catching banners, signs, and artwork that will be used during the upcoming Climate March.  No need to be artistically inclined, everyone is welcome! We'll provide all the necessary art supplies, so you can simply bring your enthusiasm and ideas. Feel free to invite your friends and family to join in this artistic endeavor.	Let's come together, have fun, and make a visual statement for a greener future! Don't miss out on this exciting Art Build & Meet-up event. See you there!  Rain Location: New Brunswick Free Public Library, Community Room  - 60 Livingston Ave
, New Brunswick NJ 08901",https://www.eventbrite.com/o/greater-new-jersey-gateway-climate-reality-co-chapter-chairs-52398720353,https://www.eventbrite.com/e/art-build-meet-up-for-upcoming-climate-march-tickets-693740044147,NYC
ReFi NYC 2023,"September 21, 2023, 09:00 AM","September 21, 2023, 07:00 PM","545 West 25th Street, New York, NY 10001",,https://www.eventbrite.com/o/dclimate-47682204243,https://www.eventbrite.com/e/refi-nyc-2023-tickets-694456988547,NYC
Muslims for Climate Justice: The Earth as our Amaanah,"September 09, 2023, 01:00 PM","September 10, 2023, 05:30 PM","238 Thompson Street, New York, NY 10012","Muslims for Climate Justice: The Earth as our AmaanahJoin Muslims for Climate Justice: The Earth as our Amaanah, a hybrid event exploring the vital role of Muslims in advocating for climate justice within an Islamic framework. Experience Day 1 in-person at New York University, NYC, on Saturday, September 9, 2023, and Day 2 virtually on Sunday, September 10, 2023, connecting our global community.W﻿hat to anticipate:Gain knowledge on climate justice and its intersections with Islam, developing tools for advocacy and solution building through engaging discussions, workshops, and interactive sessions. Our expert speakers will shed light on the Islamic perspective of environmental stewardship, emphasizing the concept of Amaanah—the trust we hold as caretakers of the Earth.Connect with like-minded Muslims, fostering a sense of community to inspire positive change in addressing urgent climate challenges. Attend both in-person and virtual sessions to maximize the event's benefits, collaborating with passionate individuals dedicated to climate justice.E﻿thical Muslim Vendor ShowcaseIn addition, the in-person event on Day 1 will feature vendors, including ethical Muslim-owned businesses and environmental organizations. This provides individuals with the opportunity to support regenerative and responsible initiatives aligned with our Islamic values of climate justice.Don't miss this empowering event! Save the date: Saturday, September 9, 2023. Join us in-person or virtually, and together, let's make a difference for our planet and future generations.At the SUMMIT, participants are encouraged to:explore the impact of the climate crisis on vulnerable communities globally through informative lectures and storytellinganalyze day-to-day consumption decisions and ways to positively impact the climate through sustainably-sourced and eco-friendly vendor showcasebecome equipped with the tools to create climate solutions grounded in an Islamic framework through carefully crafted workshops",https://www.eventbrite.com/o/faithfully-sustainable-29681962431,https://www.eventbrite.com/e/muslims-for-climate-justice-the-earth-as-our-amaanah-tickets-669451536567,NYC
9/23 Climate Action Workshop with Vienna Teng @ Joe's Pub,"September 23, 2023, 03:30 PM","September 23, 2023, 05:30 PM","425 Lafayette Street, New York, NY 10003","Are you ready to do more about climate change, but feel a bit overwhelmed? Wish you knew where to put your limited time & energy? This workshop might be for you.Drawing on her recent years working in environmental sustainability, Vienna will help you discover what enjoyable, meaningful climate action looks like for you personally, tailored to your unique circumstances, interests, and superpowers. You'll get to know some fellow music lovers taking their own similar journeys, and you’ll come away with practical first steps to actually make it happen. (Plus there might be a bonus music moment or two.)The workshop will run for 2 hours and will be capped at 20 participants, to make sure each person gets ample support.",https://www.eventbrite.com/o/vienna-teng-61037159083,https://www.eventbrite.com/e/923-climate-action-workshop-with-vienna-teng-joes-pub-tickets-648602005057,NYC
How Worldviews and Climate Justice Can Remake a World in Crisis,"September 22, 2023, 05:00 PM","September 22, 2023, 07:30 PM","58 Park Avenue, New York, NY 10016","How Worldviews and Climate Justice can Remake a World in CrisisFriday, September 22, 5:00 - 8:00pm ET NYC TimeScandinavia House, 58 Park Ave, New York, NY 10016We are at a choice point for humanity. As social and ecological crises escalate globally, it is clear that the dominant cultural worldview, informed by colonization, patriarchy, capitalism, and racism is displaying a relationship with Nature and each other that is devastatingly unjust and out of balance. To live in a healthy and equitable world, we must fundamentally change how we respect and interact with the Earth and one another. To change the present and future, it is imperative to change the narrative and amplify worldviews and stories of climate justice solutions that transform the dominant worldview from an extractivist, colonial paradigm of “exploit and extract” to a sustainable, globally-conscious one of “respect and restore.”At this event, movement leaders and change-makers will weave together stories, worldviews, and experiences of restoration and justice that demonstrate the healthy and equitable world we know is possible and needed. We knew in our bones this time was coming, and now we must act in solidarity more than ever, continuing to build a powerful movement founded on principles of justice, love, and a fierce dedication to our planet and our communities.This event is also the pre-launch of the forthcoming book by Osprey Orielle Lake, ""The Story is in Our Bones: How Worldviews and Climate Justice Can Remake a World in Crisis,"" to be released in January 2024.  Abundant hors d’oeuvres and drinks will be served. Please check back for further event and speaker details!------------------------------------------------------------Registration informationRegistration is required, and the event is first come, first serve. Registration does not confirm a seat. This event is free and open to the public.------------------------------------------------------------",https://www.eventbrite.com/o/the-womens-earth-climate-action-network-wecan-international-17434749885,https://www.eventbrite.com/e/how-worldviews-and-climate-justice-can-remake-a-world-in-crisis-tickets-669071058547,NYC
New Yorkers and the Climate Movement,"September 18, 2023, 10:30 AM","September 18, 2023, 12:00 PM","12 East 41st Street Room 701, New York, NY 10017","In this workshop we’ll share our perspective as New Yorkers on current global climate issues, discuss the many inspiring successes of the climate movement in New York and how taking action in New York contributes to making progress in the climate crisis overall. We’ll also talk about how some simple tools can help those already engaged in the Climate movement to keep going strong and how being effective listeners to others not yet involved can help us engage them in the movement.",https://www.eventbrite.co.uk/o/sustaining-all-life-67466229743,https://www.eventbrite.co.uk/e/new-yorkers-and-the-climate-movement-tickets-675516266337,NYC
Demo Hall: Hard Tech Solutions to the Climate Crisis,"September 20, 2023, 04:00 PM","September 20, 2023, 07:00 PM","100 Washington Square East, New York, NY 10003","Join us for an event to highlight hard-tech innovation in climate. 

Solving the climate crisis requires technical breakthroughs and Activate Fellows are rising to the challenge, bringing new decarbonization pathways to the hardest-to-abate industries from chemicals to cement and copper production, to carbon dioxide removal and next generation energy storage

Our Climate Week event will convene the NY hardtech community and spotlight the growing momentum around decarbonization with a demo hall. Guests can see and feel the prototypes in development and network with key ecosystem partners.  

The event is co-hosted by Activate, Open Air, DCVC, Collaborative Fund, Impact Science Ventures and Mercury Bank, in partnership with Newlab and Paradigm Counsel. 

The event will be on Wednesday, September 20, at 100 Washington Square from 4-7 PM. 


The event will feature 20+ companies with prototypes. There will be demonstrations of the technology reshaping the energy and climate economy. 
Guests will include key stakeholders driving the hardtech climate ecosystem, including representatives from local and federal government, academia, investors, startups and industry.   


Speaker and agenda information coming soon. Light food and beverages will be served.

",https://www.eventbrite.com/o/activate-30663117776,https://www.eventbrite.com/e/demo-hall-hard-tech-solutions-to-the-climate-crisis-tickets-690285140437,NYC
THE WANDERING EARTH 2 | Film Screening & Climate Panel,"August 19, 2023, 11:30 AM","August 19, 2023, 03:30 PM","1998 Broadway, New York, NY 10023","THE WANDERING EARTH 2 | Film Screening & Climate PanelJoin us on Saturday, August 19, 2023 at 11:30 AM (EDT) for an exciting event at AMC Lincoln Square 13 located at 1998 Broadway, New York, NY 10023. Experience the highly anticipated prequel to ""The Wandering Earth"" in a thrilling film screening followed by an engaging climate panel discussion.Immerse yourself in the captivating world of this sci-fi blockbuster, where humanity's survival depends on a daring mission to save Earth. Witness the breathtaking visual effects and gripping storyline that will keep you on the edge of your seat.After the screening, join our esteemed panel of climate experts as they delve into the film's themes and discuss the real-world implications of climate change. Gain valuable insights, ask questions, and engage in meaningful conversations about our planet's future.Don't miss this unique opportunity to be part of an event that combines entertainment and education. Reserve your spot now and be prepared for an unforgettable experience!On behalf of the Buddhist Tzu Chi Foundation Northeast Region Office and Tzu Chi Youth Association (TCYA), we are honored to invite you and your family to participate at our Sci-Fi film screening and global climate panel discussion with Professor Dale Jamieson. The topic will focus on the human-induced climate crisis, cannibal capitalism, its impact on future generations, genuine actions needed globally, in the context of the spiritual, economic, and social, and dimensions. This is tremendous opportunity for student and family.There will be interactive Q&A with the audience. Light lunch and refreshment will be served.Post-Panel Booking Signing & Photo-Ops: We'll giving out copies of book Love in the Anthropocene  beautifully written by by Dale Jamieson & Bonnie NadzamGuest Panelists & Keynote SpeakerDale JamiesonDale Jamieson is Professor of Environmental Studies and Philosophy at New York University, a scholar of environmental ethics and animal rights, and an analyst of climate change discourse. He also serves as a faculty affiliate for the NYU School of Law and as director of NYU Center for Environmental and Animal Protection.Bonnie NadzamBonnie Nadzam is an American writer and Zen Buddhist priest. Her poetry, essays and fiction have appeared in Harper's, Orion Magazine, The Iowa Review, Kenyon Review, and many other journals and magazines. Her first novel, Lamb, was the recipient of The Center for Fiction's Flaherty-Dunnan First Novel Prize, translated into several languages and made into an award-winning independent film. Her second novel, Lions, was a finalist for the PEN USA Literary Award in Fiction. She is also co-author of Love in the Anthropocene with Environmental Ethicist Dale Jamieson.  She is currently a Research Fellow with the Harvard Animal Law and Policy Program. Tzu Chi youth volunteers (TZUSHAO) bottle recycling and street cleaning program to protect and preserve the environment.",https://www.eventbrite.com/o/tzu-chi-foundation-new-york-68906209533,https://www.eventbrite.com/e/the-wandering-earth-2-film-screening-climate-panel-tickets-684178043947,NYC
How the Global North can Take Responsibility for the Climate Crisis and Act,"September 19, 2023, 10:30 AM","September 19, 2023, 12:00 PM","12 East 41st Street Room 701, New York, NY 10017","The session will address:·	   That we are in a climate crisis and there is a need for immediate action to reduce consumption; stop the emissions, extraction, and exploitation of the Global South; and provide resources to prevent, adapt, and rebuild.·	   How the historical exploitative extraction of resources from the Global South has resulted in the accumulation of economic resources in the Global North and the depletion of economic resources in the Global South.  This history is ongoing and is combined with oppressive financial structures (based in colonialism and racism) which put the Global South in debt to the Global North.·	   The concept of Loss and Damage, referring to a concept adopted in the United Nations climate talks at the urging of the Global South. Its implementation will be a key issue in the UN climate talks moving forward.·	   Why resources to solve the climate crisis are only available in the Global North and some ideas on how it is possible to access these funds.·	   What are the underlying human patterns of behavior that underlie the confusions in our society that have created the current crises? There is internal work that the people of the Global North need to do to accept their historical responsibility and back the Global South to develop just proposals which redress the current economic inequality and disparate impact of the climate crisis.",https://www.eventbrite.co.uk/o/sustaining-all-life-67466229743,https://www.eventbrite.co.uk/e/how-the-global-north-can-take-responsibility-for-the-climate-crisis-and-act-tickets-676187664507,NYC
"Jews, Land, and Climate Café -  art sharing / workshop for Jews and allies","September 22, 2023, 10:30 AM","September 22, 2023, 12:00 PM","12 East 41st Street, New York, NY 10017","Jews, like all peoples, are deeply connected to the earth, to all life forms,  and to the places where we live.  Antisemitism, however,  has historically led to Jews losing our multi-generational connections to the many lands in which we have existed.  Recognizing and restoring those connections within our cultures is a key part of healing from antisemitism. In this workshop, we invite Jews, and our friends and allies, to look at ways that Jewish engagement with climate action can provide an opportunity for healing from antisemitism. We will share stories and artworks in celebration of Jewish connections with living environments, both past and present.  We will introduce tools of listening and of healing from inherited historical trauma. These tools can help to expand our involvement and sustain our action as Jews in the work to reverse the climate emergency, in coalition with many other peoples.",https://www.eventbrite.co.uk/o/sustaining-all-life-60222455803,https://www.eventbrite.co.uk/e/jews-land-and-climate-cafe-art-sharing-workshop-for-jews-and-allies-tickets-662031844067,NYC
"Climate, Politics, and Corporate Power: A Conversation with Steven Donziger","September 12, 2023, 07:00 PM","September 12, 2023, 08:30 PM","2 W 64th Street, New York, NY 10023","Ticket sales benefit the Donziger-Amazon Defense Fund.Join us in conversation with noted human rights attorney Steven Donziger about being targeted with the nation’s first corporate prosecution after helping Amazon communities win a historic $10 billion pollution case against Chevron. Steven is a leading thinker operating at the intersection of climate, law, and corporate power, and is the first US attorney to be jailed by a corporation in retaliation for his human rights work.After helping Amazon communities win a historic $9.5 billion pollution judgment against Chevron, the company retaliated and prosecuted him for contempt of court in New York after he refused to turn his computer and confidential case file over to his adversary counsel. The federal prosecutor rejected the charges, which were filed by a pro-corporate judge with financial ties to the company.The judge appointed a Chevron law firm to prosecute Steven in the name of the US government.The private Chevron prosecutor immediately ordered Steven locked up at home with a 24/7 monitoring device on his ankle, while his trial was delayed for over two years. He ended up spending 993 days in detention and in prison for a misdemeanor offense with a maximum sentence of 180 days; the judge denied him a jury.He is still the only person ever in the US locked up in retaliation for his human rights work. Chevron used 60 law firms and 2,000 lawyers to attack Steven. He now enjoys the support of 68 Nobel Laureates and more than 150 bar associations and civil society groups around the world and is considered a leading global spokesperson on the issues of human rights, climate justice, Indigenous rights, and the law.",https://www.eventbrite.com/o/new-york-society-for-ethical-culture-430661676,https://www.eventbrite.com/e/climate-politics-and-corporate-power-a-conversation-with-steven-donziger-tickets-688004328467,NYC
"Kristina Lunz and Enuma Okoro on Foreign Policy, Climate, and Feminism","September 21, 2023, 07:00 PM","September 21, 2023, 08:30 PM","1014 5th Avenue, New York, NY 10028","Two days after the UN General Assembly in New York City, 1014 presents Financial Times columnist Enuma Okoro and Kristina Lunz, co-founder of the Centre for Feminist Foreign Policy, in conversation about our chances to improve global climate policy and create a more caring international order. They will discuss feminist foreign policy and the accelerating climate crisis with each other and the audience.

Kristina Lunz will give insights into her latest book “The Future of Foreign Policy is Feminist”, which will be published in English later this year. While the book is not yet available in the United States, three copies will be raffled to the audience during the event.Kristina Lunz and her ""Centre for Feminist Foreign Policy"" are trying to change that. The political scientist, activist and entrepreneur thinks peace, human rights and justice together with foreign policy and wants to initiate a paradigm shift: She counters power play and military muscle games with mediation in peace negotiations, feminist power analyses and climate justice. Realpolitik is exchanged for utopias, and there are just as many women ambassadors as ambassadors. In this way, the antagonism of nations can finally be replaced, and everyone will be able to live in greater security and with fewer conflicts.Enuma Okoro is a Nigerian-American author, journalist, lecturer, and cultural curator. She is a weekly columnist for the Financial Times weekend newspaper. Her column, “The Art of Life,” reflects on the intersection of art, philosophy, spirituality, culture and how we live. Her broader research and writing interests include considering how the arts, intersectional feminism, philosophy, language and knowledge theory, theology and contemplative eco-spirituality speak into the study of the human condition, how we relate to the more-than-human, and how we accumulate and produce knowledge. 

She is convinced that stories, through their varying mediums, are how we challenge old narratives, free our imaginations, and tell new and expanded truths that shift perceptions and instigate change.VENUE ACCESSIBILITY
Unfortunately, 1014 Fifth Avenue is in the process of being refurbished, and is not fully accessible in its current state. We apologize to our guests and kindly ask you to contact j.isaacs@1014.nyc if you need further information or assistance. We will do our best to enable everyone to join us. 

",https://www.eventbrite.com/o/1014-34192319459,https://www.eventbrite.com/e/kristina-lunz-and-enuma-okoro-on-foreign-policy-climate-and-feminism-tickets-694172938947,NYC
Party Yacht Cruise Around NYC,"August 11, 2023, 11:30 PM","August 12, 2023, 03:00 AM","2430 FDR Drive, New York, NY 10010","** THE FRIDAY AUGUST 4TH CRUISE IS NOW SOLD OUT **Are you ready to mingle and party on this beautiful, huge yacht!!?? Come enjoy breathtaking sunset views on this fun and safe sunset cruise through NYC and sail by the Brooklyn Bridge, The Statue of Liberty, and the beautiful New York City Skyline on this spacious vessel to let loose with your squad on a 100 ft, 2-deck private yacht and a huge indoor dance floor!Dance the night away on the Hottest Yacht Party Cruise with the best DJs while enjoying the the NYC Skyline! Sail through the city and take in the sights while you enjoy music and drinks for the night. Grab your friends or come alone and get ready to enjoy an experience you won't forget!Go out in style on a beautiful, 145 foot yacht w/ 3 floors for a 3 hour party and cruise along New York's famous night time skyline!! Come alone or invite your friends! Live DJ spins your favorite party music!Unwind from the week and relax on the water while you indulge on breathtaking views. While on board, be sure to check out our fully stocked bar! Order drinks straight to your table or at the bar! There are four floors and one outdoor deck for dancing underneath the moonlight.* SEE UPCOMING NYC EVENTS AT: WWW.FRIENDZYEVENTS.COM• The boat will sail rain or shine! The boat has indoor and outdoor areas so we'll be good either way! Right now the weather forecast looks great!* A lot of the crowd will be single so feel free to come by yourself... It can be a great place to meet someone!*Open-Air deck and a climate-controlled cabins* 2 Fully Stocked Cash Bars So You Can Enjoy Amazing Cocktails* The boat will sail rain or shine! The boat has two levels. Both levels have climate controlled areas - indoor & outdoor* Live DJs playing all styles of musicFAQs:Rain? No problem, there are three large indoor dance floors and indoor sitting areas!Parking?  There is paid parking at the marina, or you can try to find free parking on the street.Dress code? No hats | No joggers | No sweats | No basketball shortsAges? All welcome 21 and over.A recent review of one of our past cruises:""I had an absolute blast! I came by myself and wasn't sure exactly what to expect but to my pleasant surprise everyone was super friendly and I met a whole bunch of people right away. A lot of people also came on their own so everyone was excited to get know other people. The DJ was outstanding and the views were AMAZING! I tested out my photography skills and got some great pics. I can't wait to go back on another cruise!""- Melissa D., NYC****************************************************ADVERTISEMENT: What colognes do women like most on men? See the colognes that women voted their favorites at: www.PocketBombsColognes.com****************************************************",https://www.eventbrite.com/o/social-events-13704361686,https://www.eventbrite.com/e/party-yacht-cruise-around-nyc-tickets-605065977627,NYC
"NYC  Sunset Yacht Party | Playing Best Hip-Hop, R&B, Caribbean & Afrobeats","August 13, 2023, 06:00 PM","August 13, 2023, 10:00 PM","2430 FDR Drive Service RD E, New York, NY 10010","**** YACHT WILL BE SAILING OUT AT 6:30pm! ****The Official  Mothers Day  Yacht party at Skyport Marina Jewel Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Sunset  Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Tickets Are on Sale nowWhat You'll GetCustomers can arrive by 5:45 p.m. for check-in with yachtBottle service AvailableThe yacht will be sailing. Boarding 5:45pm, Sail 6:30pm. The Yacht returns to Marina at 10pm. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!ID is a Must. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Temperature readings upon entry so we can create a safe haven for our attendees!For more ticket information on   The Sunset   Jewel Yacht Cruise call/ or text 646-623-6619**** YACHT WILL BE SAILING OUT AT 6:30PM! ****",https://www.eventbrite.com/o/capital-events-marketing-group-9769672320,https://www.eventbrite.com/e/nyc-sunset-yacht-party-playing-best-hip-hop-rb-caribbean-afrobeats-tickets-557869100497,NYC
From Mississippi to Manhattan: Climate Change & Underserved Communities,"September 21, 2023, 11:00 AM","September 21, 2023, 12:30 PM","1650 Bedford Avenue, Brooklyn, NY 11225","'From Mississippi to Manhattan' is a riveting screening of an upcoming documentary on climate change and resilience among underserved communities followed by an insightful panel discussion on approaches to community-crafted resilience solutions. Hosted by the Institute for Diversity and Inclusion in Emergency Management (I-DIEM), the event will explore conversations on new approaches to improving equitable outcomes and community empowerment in the wake of our current climate crisis.

The event will feature a screening of the documentary ""Muted"", a firsthand account of the impacts of climate change, systemic inequities, and barriers to resilience among underserved communities from small, rural towns to large metropolitan areas.

Following, the event will feature a powerhouse panel discussion including policymakers, meteorologists, and philanthropists dedicated to community resilience building and identifying community-crafted resilience solutions focused on improving our approach to climate and weather-related disasters.",https://www.eventbrite.com/o/the-institute-for-diversity-and-inclusion-in-emergency-management-24284470627,https://www.eventbrite.com/e/from-mississippi-to-manhattan-climate-change-underserved-communities-tickets-692563515117,NYC
Bollywood Sundowner NYC :  Desi Sunet Cruise Yacht Party On The Hudson,"August 19, 2023, 06:00 PM","August 19, 2023, 11:00 PM","12th Avenue & 42nd Street, New York, NY 10036","Price increase warning: Bollywood On The Hudson Advance ticket prices go up significantly (100% +) the closer you get to the event date.Climb aboard a one-of-a-kind Bollywood Boat Party, for an opportunity to view New York City from the comfort of multiple climate-controlled decks (indoor and outdoor). Surrounded by spectacular sights outside and elegant amenities inside, you will glide past many of New York's most legendary landmarks, including the Statue of Liberty, Freedom Tower, Empire State Building and the Brooklyn Bridge.Expect to dance away on our nightclub on the water and take plenty of snaps of the view!Your Cruise Experience Will  Include:Scenic 4 Hour Cruise of the NYC harbor.Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more.Appetizers & Main Course Will Be Available For Purchase.Open-Air deck and climate-controlled indoor cabins.Dj Dharak & Dj BollyBoom playing all styles of Bollywood, Top 40 & more.Paid Parking Available On the Pier (Arrive Early). Please arrive early so you don't miss the Boat. No Refunds if you miss it!This Event is Strictly For 21 & Over. Proper Physical ID Will Be Required To Board.Great for Birthday Celebrations / bachelorette / bachelor / anniversary / graduations & more (Balloons & Small Cakes are permitted - no other outside food allowed)Event Information:Boarding: 5:30PMDeparture: 7:00 PMEnds: 11:00 PMQ&A:WHERE DO I BOARD?The Bollywood Cruise boards at Pier 83, (42nd St & 12 Ave),NYCWHAT TIME IS BOARDING/DEPARTURE?Guests will be able to board the yacht at 5:30 PM.The yacht is scheduled for departure at 7:00 PM T﻿he yacht will return back at 11:00 PMWILL THERE BE PARKING?Pier 83 has parking garages for an average of $35.00 per vehicle. Contact us for more information & special reservations:Call / Text  : (908) 425 - 1603",https://www.eventbrite.com/o/desisaturdayscom-25188472653,https://www.eventbrite.com/e/bollywood-sundowner-nyc-desi-sunet-cruise-yacht-party-on-the-hudson-tickets-643197339557,NYC
#1 NYC YACHT CRUISE BOAT PARTY | NYC EXPERIENCE PARTY TOUR,"August 11, 2023, 09:30 PM","August 12, 2023, 02:00 AM","353 West Street, New York, NY 10014","New York City  YACHT CRUISE BOAT PARTY |  EXPERIENCE Manhattan Waters Get your tickets asap, this was previously sold out!We're sailing on the lux  Mega Yacht - ! Get ready to drop it down and bring it up, it’s time to party New York!Experience Includes:LIVE DJ 'S ALL AROUND THE YACHT Scenic 3.5-hour cruise of the NYC harbor;Cash Bar (liquor drinks, beer, wine & soda);Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Waitress Service Available ; Order Drinks directly to your tableVIP Bottle Service Available also available.Open-Air deck and 4 climate-controlled dance floors ;The dress code is *Trendy*Rain? No problem, there are three large indoor dance floors!There are four outdoor decks to dance under the stars.T﻿ABL ERESERVATION OR  SEATING RESERVATION Contact us for GROUP DISCOUNT &  special reservations: rsvp@iclubnyc.com *INVITE THE WHOLE FAMILY! The right place to celebrate your birthday, surprise birthday, bachelor/bachelorette, family reunion, graduation, holidays & many more. All ages of guests have attended our concerts. from 21+ all the way to 70 years old! An experience for ALL!*21 & over with proper PHYSICAL ID CARD -﻿-------------------------------P﻿IER 40. HORNBLOWER CRUISES AUG, 11th |  INFINITY YACHT AUG, 12Th  |  SERENITY  YACHT   BOARDING A﻿UG, 13TH | INFINITY 5PM B﻿OARDING TIME WILL BE ON THE TICKET TIME SELECTED EVENT CALENDAR B﻿OARDING: 9:30D﻿EPARTS : 11PM R﻿ETURNING :  2AM ___________________No Refunds Dress Code Policy: *TRENDY* (Dress to Impress!)- Gentlemen: Shoes, black sneakers, no boots, button down shirts, polo shirts and jeans are acceptable.- Ladies: Casual & Classy- No durags (wave caps)- No baggy attire!follow @iclubnyc all social media visit www.iclubnyc.comIF any  boarding location or time changes we will send you an email C﻿LICK & W﻿in Free ticket for you Birthday ",https://www.eventbrite.com/o/iclubnyc-1717273352,https://www.eventbrite.com/e/1-nyc-yacht-cruise-boat-party-nyc-experience-party-tour-tickets-559630849937,NYC
How to Save a Planet (Before it is Too Late),"August 16, 2023, 07:00 PM","August 16, 2023, 08:15 PM","178 Bennett Avenue, New York, NY 10040","We’re living in a time of global crisis. We bear witness to the effects of our government’s inability to respond to the existential threats of climate and ecological emergency, the COVID-19 pandemic, and the ravages of a long history of systemic racism. Facing these threats alone can be overwhelming. Extinction Rebellion (XR) is a mass movement that is bringing people together to avoid total climate breakdown. This talk will (a) lay out the climate science that drives our urgency to act and (b) describe how we use nonviolent direct action to demand change from government, corporations, and media.We  welcome you if you want to just learn about the state of the earth’s climate. We will love you if you join Extinction Rebellion to fight for it. We need everyone, whether or not you are in a position to perform direct action yourself.Come to hear more about what humanity is facing in the next decade, what has to happen to prevent catastrophe, and to connect with others who are wrestling with these truths. You are not alone.Please register ahead for this event as capacity is limited. The venue is handicapped accessible.",https://www.eventbrite.com/o/extinction-rebellion-nyc-30639374730,https://www.eventbrite.com/e/how-to-save-a-planet-before-it-is-too-late-registration-689520824347,NYC
