ID,Event Name,Start,End,Location,Description,Organizer,Event URL,City
8369,Protect Our Beaches - Chicago Cleanup,2023-08-24 17:00:00,2023-08-24 19:00:00,"6323 South Lake Shore Drive, Chicago, IL 60649","Help ‘Protect Our Beaches’ with the help of Corona and Oceanic Global at 63rd Street Beach taking place on Saturday, August 24th from 5pm - 7pm.Join Us On Our Mission To  Clean 100 Beaches By 2025Corona and Oceanic Global are on a mission to clean up 100 BEACHES and remove 1 MILLION POUNDS of plastic waste from the Corona business and beaches across the USA by 2025. Since 2021 Corona has cleaned dozens of beaches across the US and removed 735,000+ of plastic from their business so far, and they’re just getting started. As cleanup experts, Package Free has supported the mission from the beginning by hosting high yield cleanup projects and community cleanup events just like this! Come out and volunteer to clean up Panama City, to help prevent beach litter  accumulation (including pesky microplastics) and stop it from entering this vital ecosystem in your community!About the Chicago Beach Cleanup 63rd Street Beach sits along the shoreline of Lake Michigan, an expansive aquatic ecosystem home to a variety of native fish species. Let's clean it up so we can all enjoy it!O﻿ur local non-profit partner, will be on site for an opportunity to learn how to stay involved - all year long!Important Details Volunteers must be 21 years of ageAll supplies will be provided to volunteers on a first come-first serve basisAll volunteers who register for the cleanup through this link will receive an email the week of the cleanup with details on parking, weather, what to bring, and all other necessary details. Please bring a reusable water bottle; we will have water to refill your bottle as needed. Water, sunscreen, bug spray, and sanitation supplies will be provided.All Package Free cleanups are ability inclusive. If you anticipate needing ability-related accommodations, please contact ariannam@naadam.co ahead of time. Please wear sturdy shoes and clothes that you don't mind getting a bit dirty. Long pants and closed toed shoes are always recommended at cleanups, but not required. ",https://www.eventbrite.com/o/package-free-68372781493,https://www.eventbrite.com/e/protect-our-beaches-chicago-cleanup-tickets-638113092437,Chicago
10481,Pollinator Garden Workshops Series,2023-08-17 10:00:00,2023-08-17 11:00:00,"86 Garside Street, Newark, NJ 07104","The Pollinator Garden Workshops Series is designed to teach hands-on and visual lessons about the importance of planting Native Plants that attract monarch butterflies and a variety of many other beneficial insects.CEO & Founder of Natural Ground 1, Dena Corbin is an educator, bestselling-author, Certified Horticultural Therapist, certified in the Utilization of Therapeutic Grade Essential Oils for Holistic Transformation, and Master Gardener.",https://www.eventbrite.com/o/newark-science-and-sustainability-inc-3986049387,https://www.eventbrite.com/e/pollinator-garden-workshops-series-tickets-671144038887,NYC
8152,WellSpent Sunday Luxe Series: Snow Skin Mooncake Workshop,2023-08-13 15:00:00,2023-08-13 17:00:00,"28 Tai Seng Street Level 5, Singapore, 534106, Singapore","Join us for an exciting Snow Skin Mooncake Workshop led by the talented Chef Lim WeiQiang. Get ready to unleash your creativity and discover the use of spent ingredients by creating your own snow skin mooncakes under the guidance of a renowned culinary expert.Chef WeiQiang brings his expertise and passion for traditional Chinese delicacies to this workshop. With his guidance, you'll gain insights into the art of crafting perfect snow skin mooncakes._﻿_________________________________________________________Time: 2.30pm - 4:00pmPrice:  $25.00 per pax, $40.00 for 2 paxV﻿enue: At-Sunrice GlobalChef AcademyLearn from the expert Chef WeiQiang!Chef WeiQiang has an impressive culinary background, starting as a Cook at 'O' Coffee Club Pte Ltd and Regent Hotel Four Season Singapore. He worked his way up to become a Senior Chef De Partie at The Ritz Carlton Millenia, specializing in baking production.With extensive experience handling diverse baking products, he ensures consistent quality standards in large-scale production operations.Chef WeiQiang's creativity shines through in developing new menus for pastry outlets and his expertise in 3-D cake designs. As a learning coach, he mentors and instructs trainees, sharing innovative creations and techniques to foster their growth in the culinary field.",https://www.eventbrite.sg/o/at-sunrice-globalchef-academy-15404576458,https://www.eventbrite.sg/e/wellspent-sunday-luxe-series-snow-skin-mooncake-workshop-tickets-680671525857,Singapore
8153,Asia Pacific Conference on Sustainable Development,2023-11-10 09:00:00,2023-11-10 17:00:00,"28 Stevens Road, District, 257878, Singapore","The Asia Pacific Conference on Sustainable Development (APCSD) is an event held to foster regional cooperation on the long-term development of the Asia Pacific region. It provides an opportunity to bring together leaders from governments, the private sector, civil society, academia and other stakeholders to discuss challenges and practical solutions for sustainable development in the region.At the APCSD, participants hear from global experts on topics ranging from inclusive economic growth, financing for sustainability, science and technology solutions, innovative business models, energy and climate action, environmental governance, education, and digital transformation. The annual conference also serves as platform for regional networking and collaboration among stakeholders with a shared mission to foster sustainable development in the Asia Pacific.The Asia Pacific Conference on Sustainable Development Excellence Awards are a platform that celebrates excellence in business and education. Pioneers in business and education have the opportunity to showcase their success and strides made by them in their career through this international platform. Eminent decision makers, leaders and industry experts from academia, higher education institutions, startups and corporates may nominate themselves or their peers to be recognized and honored for their valuable contribution in their chosen field. ",https://www.eventbrite.com/o/asia-pacific-conference-on-sustainable-development-68143930673,https://www.eventbrite.com/e/asia-pacific-conference-on-sustainable-development-tickets-672051121997,Singapore
8370,Cruising for a Pink and Green Cause,2023-09-09 11:30:00,2023-09-09 14:30:00,"600 East Grand Avenue, Chicago, IL 60611","Get ready to join us for a fun-filled day of cruising on Lake Michigan while supporting a great cause at Cruising for a Pink and Green Cause! On Sat Sep 09 2023, we'll be meeting at the Spirit of Chicago at Navy Pier  (600 East Grand Avenue, Chicago, IL 60611) to kick off the event at boarding time, 11:30 AM CDT. The boat will set sail promptly at 12:30 pmThis event is all about showing your support for scholarships and other community programs in Evanston/North Shore, including:E﻿vanston Community Soup KitchenD﻿reams Delivered Prom BoutiqueA﻿frican American Youth Achievement AwardT﻿hink HBCUY﻿outh Leadership InstituteE﻿nhance Our Environment InitiativesL﻿ocal Community Grants and ContributionsSo mark your calendars and get ready to cruise for a good cause! We can't wait to see you there!",https://www.eventbrite.com/o/ivy-pearl-foundation-inc-14923599020,https://www.eventbrite.com/e/cruising-for-a-pink-and-green-cause-tickets-638133864567,Chicago
8371,North Lawndale Celebrates National Honeybee Day!,2023-08-19 10:00:00,2023-08-19 16:00:00,"1111 S. Homan Ave., Chicago, IL 60624","C﻿elebrate National Honeybee Day with North Lawndale Employment Network and Lincoln Park Zoo!J﻿oin us Saturday, August 19th from 10AM to 4PM on our 1111 S. Homan Ave campus for a day of free activities, including food, music, face painting, children's activities, a scavenger hunt, and pollinator seed kit giveaways!E﻿njoy a green space installation by Landscape Architecture Foundation Fellow Doug Williams and build bee boxes for our local bees! R﻿eserve your space at this event at nationalbeeday.eventbrite.comQ﻿uestions? Contact us at beelove@nlen.org",https://www.eventbrite.com/o/north-lawndale-employment-network-19120791132,https://www.eventbrite.com/e/north-lawndale-celebrates-national-honeybee-day-tickets-679492088127,Chicago
8372,Small Business Expo and Networking Event #ChiPopup,2023-12-06 11:00:00,2023-12-06 15:00:00,"Chicago, Chicago, IL 60615.","Small Business Expo and Networking EventN﻿ew Date, October 14Join us as companies showcase and/or sell their products, provide demonstrations with informational handouts, offer free samples, or provide discounted deals.Mix & mingle with other business professionals that are serious about growing their network. Develop professional relationships in a professional environment.Exhibitors or Employers: INTERESTED IN ATTENDING THIS EVENT? Email SalesManager@KlimbHires.Com or TEXT US! We Text Back. 470-908-2940Attendees: email us at info@klimbhires.com with any questions.Klimbhires.com: Our team of experienced event planners, recruiters, workforce experts, and business and marketing professionals have held hundreds of expos, business conferences, career fairs, business conferences, and placed thousands back to work. We are the experts in helping small businesses generate sales, capture leads, build awareness/ visibility, and build a database. Let US Search for YOU. 800-320-1371. Klimb Jobs LLC, Formally CCN",https://www.eventbrite.com/o/klimb-events-events-curated-by-klimb-jobs-30224102028,https://www.eventbrite.com/e/small-business-expo-and-networking-event-chipopup-tickets-527945849247,Chicago
630,24-Hour HAZWOPER Training Training in Chicago IL (Wood Dale),2023-09-12 08:00:00,2023-09-14 17:00:00,"900 North Wood Dale Road, Wood Dale, IL 60191","Since 1995, Compliance Solutions has become the nation's largest private provider of OSHA HAZWOPER Training classes. Our classes are available in 50+ U.S. cities- nine different cities each week!These highly interactive Instructor-Led training courses meet or exceed OSHA training requirements under 29 CFR 1910.120(e) - HAZWOPER (40, 24, 16 & 8 Hour)Who needs 24 Hour HAZWOPER Training?The 24-Hour HAZWOPER course is designed for workers who are NOT required to deal directly with cleanup (this would generally be described as not working in conditions that require a protection level of “C or above) such as drillers, surveyors, contractors, administrative personnel, drivers, etc. These job titles must be fully trained pursuant to the HAZWOPER standard (29 CFR 1910.120(e)). Workers attending this course cover health and safety procedures during work operations at hazardous material sites.What is 24-Hour HAZWOPER Training?OSHA requires 24 hours of safety training under OSHA 29 CFR1910.120(e) for individuals who work on controlled or uncontrolled hazardous sites. Course ObjectivesThe two main objectives of HAZWOPER training are:•	Control or eliminate the potential hazards and/or losses, and•	Protect the health and safety of workers, the public, and the environment.PER OSHA’s Hazardous Waste Operations and Emergency Response (HAZWOPER) Standard (29 CFR 1910.120), the purpose of this seminar is to ensure awareness and promote safety among employees who may be exposed to hazardous waste and chemical hazards on work-sites. The objective is to ensure that employees operate in the safest possible manner in situations where contact with potentially hazardous materials is likely.At the conclusion of the 24-Hour HAZWOPER course, students will:•	Understand how hazardous materials are handled, identified, and what the human responses to exposure are•	Learn the importance of the Health and Safety Plan (HSP)•	Incorporate the knowledge of what to do in case of site emergencies•	Use appropriate safety methods and work practice controls•	Recognize signs and labels that are used to alert personnel of danger involving hazardous materialImportant Registration Note: All employees who have regular duties related to handling or cleaning up hazardous materials or waste in any of these functions should take the 40-hour HAZWOPER course. The 24-hour course is designed for “Occasional Site Workers” meaning those individuals whose job functions do not include the handling of waste or hazardous materials as an integral part of their job.Act now and buy your ticket today. Classes fill up quickly. Multiple registration discounts (same course, same class) are available. Please call 800-711-2706 for information!Note: This event does NOT issue paper tickets. After registration, you will receive an email confirmation from Compliance Solutions that includes the date, time, and location of the class. Prior to registering read a copy of our cancellation and refund policy. Once registered, you acknowledge you have read and agree to this policy and provisions.Group DiscountsOffered for registrations of the same course type, date, and city. To receive a group discount all students MUST register at the same time:5 to 9 students= 10% 10 or more = 15%",https://www.eventbrite.com/o/compliance-solutions-occupational-trainers-inc-61045768933,https://www.eventbrite.com/e/24-hour-hazwoper-training-training-in-chicago-il-wood-dale-tickets-631784312887,Chicago
631,40-Hour HAZWOPER Training in Chicago IL (Wood Dale),2023-09-12 08:00:00,2023-09-15 17:30:00,"900 North Wood Dale Road, Wood Dale, IL 60191","Compliance Solutions, the nation's largest provider of OSHA HAZWOPER Training, is pleased to offer open enrollment for 40-Hour OSHA HAZWOPER Site Worker training in 50+ U.S. cities-Nine different cities every week!Our instructor-led seminars meet or exceed OSHA’s suggested training curricula and meet OSHA’s mandated training requirements under 29 CFR 1910.120(e and q) including hands-on training!Compliance Solutions is the largest private provider of HAZWOPER and DOT Hazmat Training nationally and has earned the trust of the industry by providing quality training since 1995Who needs 40 Hour HAZWOPER Training?40-Hour HAZWOPER training is mandated for employees who have responsibilities to remediate (clean up) hazardous materials at controlled and uncontrolled sites with hazards or work activities that present an Immediate Danger to Life or Health (IDLH). This includes clean-up operations, emergency response operations, storage, disposal, or treatment of hazardous materials and hazardous waste sites. 40-Hour HAZWOPER training is also required prior to OSHA Site-Supervisor training.What is 40 Hour HAZWOPER Training?The 40-Hour HAZWOPER course provides structured classroom training mandated by 29 CFR1910.120 (e and q) including student exercises and a hands-on dress-out to acclimate workers with required Personal Protective Equipment (PPE). Workers attending this instructor-led course will cover 18 different OSHA-suggested topics including health and safety procedures, PPE used during work operations at hazardous material sites, medical monitoring, and many others.Instructors emphasize a practical approach to worksite health and safety, as such, attendees learn to recognize site hazards and take appropriate steps to prevent illness or injuries while on the job site.Register Early! Pre-registration for all classes is required (no walk-in’s) and classes do fill up quickly.Registration Note: This event does NOT issue paper tickets. After registration, you will receive an email confirmation from Compliance Solutions that includes the date, time, and location of the class. Prior to registering read a copy of our cancellation and refund policy. Once registered, you acknowledge you have read and agree to be bound by this policy.Group DiscountsOffered for registrations of the same course type, date, and city. To receive a group discount all students MUST register at the same time:5 to 9 students= 10% 10 or more = 15%For Multiple purchase discounts or onsite Group pricing, call 800-711-2706 Ext 1",https://www.eventbrite.com/o/compliance-solutions-occupational-trainers-inc-61045768933,https://www.eventbrite.com/e/40-hour-hazwoper-training-in-chicago-il-wood-dale-tickets-631800982747,Chicago
632,8-Hour HAZWOPER Refresher Training in Chicago IL (Wood Dale),2023-09-15 08:00:00,2023-09-15 16:00:00,"900 North Wood Dale Road, Wood Dale, IL 60191","Compliance Solutions, the nation's largest provider of OSHA, DOT, EPA, and RCRA Training is pleased to offer open enrollment for our 8-Hour OSHA HAZWOPER Annual Refresher training. Classes are delivered in 50+ U.S cities -Nine different cities every week!Our instructor-led seminars meet or exceed OSHA’s suggested training curricula and meet OSHA’s mandated training requirements under 29 CFR 1910.120(e and q).8 Hour HAZWOPER (HAZWOPER Refresher)The 8-Hour HAZWOPER course meets OSHA’s annual refresher requirements for employees who have completed their initial 24-Hour 40-Hour HAZWOPER certification. Mandated training can be found in 29 CFR1910.120. Students attending the 8-Hour HAZWOPER are updated on changes in related regulations, participate in multiple class safety activities, complete a mock dress-out and receive instruction in health and safety procedures, and personnel protection during work operations at hazardous material sites. Unlike our competitors, our training content and exercises are updated annually so your employees don’t take the same class over and over again every year!Who needs 8 Hour HAZWOPER Training? Students must have completed an initial 24-Hour or 40-Hour HAZWOPER course and have maintained certification through annual refresher training. If certification has not been refreshed under OSHA guidelines, the 24-Hour or 40 Hour HAZWOPER should be re-taken to maintain certification.Upon successful completion of the course, students will:Understand changes in HAZWOPER/related regulations in the past year.Describe the effects of hazardous materials on people and the environmentIdentify safe methods and work practices.Recognize signs and labels used to alert personnel of dangers involving hazardous materials.Recognize and identify site and personnel hazards.Register Early! Pre-registration for all classes is required (no walk-in’s) and classes do fill up quickly.Registration Note: This event does NOT issue paper tickets. After registration, you will receive an email confirmation from Compliance Solutions that includes the date, time, and location of the class. Prior to registering read a copy of our cancellation and refund policy. Once registered, you acknowledge you have read and agree to be bound by this policy.Group DiscountsOffered for registrations of the same course type, date, and city. To receive a group discount all students MUST register at the same time:5 to 9 students= 10% 10 or more = 15%Call 800-711-2706 Ext 1 to register multiple students or inquire about Group training.",https://www.eventbrite.com/o/compliance-solutions-occupational-trainers-inc-61045768933,https://www.eventbrite.com/e/8-hour-hazwoper-refresher-training-in-chicago-il-wood-dale-tickets-633483575427,Chicago
8155,Good Gathering: Mindful Exploration,2023-08-19 09:00:00,2023-08-19 11:00:00,"18 Marina Gardens Drive, Singapore, 018953, Singapore","🌿 Join us at the Good Gathering: Mindful Exploration, a gathering co-organised by Togather for Good and Terraformers. Nestled amidst the picturesque Gardens by the Bay in Singapore, this gathering promises to be a delightful blend of mindfulness, art, and conscious exploration.🚶🏽‍♂️🚶🏽‍♀️ Embark on a 2-hour journey, beginning with a half-hour walk where we'll set the context for the day's exploration. As we stroll through the serene setting, we'll learn to be present in the moment, appreciating the beauty of our urban surroundings while contemplating the significance of human activities and their impact on our planet.🎨🌆 Engage your creative senses during the one-hour guided art activity, where sketching becomes a tool for intentional observation. With prompts designed to inspire contemplation, we'll explore the stark contrast between urban environments and the nurturing settings of regenerative communities. All this will take place in a picnic setting, fostering an atmosphere of camaraderie and inspiration. We'll provide drinks and materials for the activity. Bring along your sunscreen, picnic mats, snacks, and friends!🚶🏽‍♂️🚶🏽‍♀️ Concluding the gathering, we'll take a half-hour walk back, allowing time for reflection and connection with fellow participants.🌏 Our ultimate aim with the ""Good Gathering: Mindful Exploration"" is to delve into the topics of regenerative tourism, eco-anxiety, and mindfulness. By fostering open dialogue and creating a safe space for shared insights, we hope to kindle a deeper understanding of our collective responsibility towards the environment and each other.🎟️  To participate in this eye-opening experience, secure your spot with a $12 ticket. The ticket price helps us cover operational costs and platform fees, ensuring that this gathering remains accessible to all. Secure your spot now and embark on this intentional gathering with us.Note: The event will follow necessary safety protocols and guidelines to ensure a safe and enjoyable experience. Cost of ticket does not include to any paid facilities at Gardens by the bay.",https://www.eventbrite.sg/o/togather-for-good-68146287053,https://www.eventbrite.sg/e/good-gathering-mindful-exploration-tickets-681367447377,Singapore
8373,The Meditation Movement at Kenwood Gardens,2023-08-19 18:00:00,2023-08-19 20:00:00,"6929 S Kenwood Ave, Chicago, IL 60637","We are thrilled to bring back our free concert series at Kenwood Gardens! From May to October, we will collaborate with local musicians and instrumental ensembles to bring free concerts to neighbors and friends at Kenwood Gardens each month.On Saturday, August 19,  6-8pm, join us  as the Meditation Movement takes the stage at Kenwood Gardens.In 2020, Rebuild Foundation transformed thirteen formerly vacant city lots into a thriving urban oasis in the Greater Grand Crossing community. The outdoor gardens, which are home to native and regionally appropriate flora and fauna, offer visitors immersive experiences in the natural environment, providing opportunities to engage with health, wellness, music, education and cultural programming amongst carefully curated and sustainably sourced plants and animal life.The free summer concert series at Kenwood Gardens reinforces Rebuild Foundation’s commitment to providing accessible world-class cultural amenities to neighbors and friends on the South Side. This series is an extension of Rebuild Foundation’s support for local artists and musicians through robust music programming across their sites.These performances are free, open to the public and appropriate for all ages. Guests are encouraged to bring blankets and layer clothing for evenings with chillier forecasts. Seating is first-come, first-serve.",https://www.eventbrite.com/o/rebuild-foundation-8442955862,https://www.eventbrite.com/e/the-meditation-movement-at-kenwood-gardens-tickets-679630993597,Chicago
8157,Keep Calm and Press On: Yoga for Caregivers | Caregiving x TOYL,2023-08-19 15:00:00,2023-08-19 16:00:00,"23 Serangoon Central NEX #04-82/83, Singapore, 556083, Singapore","Important NoticeThis programme/event is open to members of the National Library Board, Singapore and those who are aged 50 years and above. Please ensure you have your myLibrary username on hand before proceeding with the registration. If you do not have a myLibrary username, you can create one here:  https://account.nlb.gov.sg/. About the ProgrammeMany caregivers are often overwhelmed by their caregiving duties, so it is important that they have their own hobbies and find time to unwind. In this basic yoga workshop, learn some breathing techniques and have a good stretch to relieve stress. This session provides an avenue for respite, allowing caregivers to nurture a new interest, learn self-care skills, and connect with other caregivers. No prior experience with yoga needed. Please bring your own yoga mat.  About Caregiver Support Network (CREST-Caregivers Dementia Singapore @ Nationwide):The Caregiver Community Outreach Team (CREST-Caregivers) focuses on caregivers who have or are at risk of developing depression, anxiety, and burnout due to their caregiving roles. The team increases public awareness of caregiving concerns, promotes identification of caregiver needs, supports caregivers in self-care, and links caregivers up with support groups and counselling services where needed.This session will be facilitated by a certified yoga instructor, who is also a caregiver caring for a loved one diagnosed with dementia.About Time of Your Life Organised by the National Library Board, the Time of Your Life (TOYL) features informative talks, creative workshops, learning communities and resources for those aged 50 and above. Covering a wide range of topics such as Digital, Careers, Sustainability, Arts & Wellness, start your learning journey with us today. Visit https://go.gov.sg/toyl for the full programme listing and check out our dedicated publication at https://go.gov.sg/50plusmag.Unsure how to register for our programme? Refer to these guides for more information.NLB Mobile App Users – go.gov.sg/toyl-evbmDesktop Users – go.gov.sg/toyl-evbdPlease note the following: • All participants are required to register for a ticket. Each ticket admits 1 person only. Please present your ticket when you enter the library and the event venue.• Arrive 10 mins before the session commences. Seats of late attendees may be given to those in the waitlist.• NLB reserves the right to deny entry to participants who do not abide by the ground rules.• Please note that photos and/or videos of this programme and its participants may be taken.",https://www.eventbrite.sg/o/golibrary-national-library-board-singapore-26735252849,https://www.eventbrite.sg/e/keep-calm-and-press-on-yoga-for-caregivers-caregiving-x-toyl-tickets-662944644277,Singapore
8159,Notes From Nature,2023-08-05 10:00:00,2023-08-06 18:00:00,"315 Outram Road #03-02 Tan Boon Liat building, Singapore, Singapore 169074, Singapore","Rediscover the lush splendor of Nature through our captivating plant-based weekend shopping extravaganza. Mark your calendars for 5th and 6th August, as we bring together some of Singapore's finest boutique businesses. Come expecting a delightful array of ornamental plants and premium planting supplies, sustainable décor essentials, as well as wholesome beverages, delectable bites, and engaging workshops.Join us for an unforgettable celebration of all things green, with a fun weekend that nurtures your connection with the natural world.Featuring (in alphabetical order):AboochaIf you are looking for healthier, functional, and guilt free alternatives to beers & sodas, Aboocha’s artisanal Kombucha teas come in exciting regional flavors, are high quality, naturally fizzy and contain gut-healthy probiotics. Aboocha's kombuchas are also rated Nutri-Grade A (lowest sugar content of only 1%) and yummiest in taste!DistilledBoutique craft spirits specialist Distilled returns to Journey East, this time on a whisky extravaganza featuring created with under-the-radar British and Scotch whisky specialists Wolfburn Distillery and Lost Distillery Company. Come on Saturday for an afternoon of cocktails, whisky on the rocks, or naturally neat if you prefer.Little BotanyLittle Botany started out as a hobbyist account on Instagram to showcase the owner’s private collection of ornamental plants. Over time, it successfully garnered a substantial following of users from all walks of life and nationalities. They champion urban gardening that works together with moving towards an eco-friendly lifestyle. They also believe in being socially inclusive and a positive change-maker for the community.Nordic NatureCatch Nordic Nature on Saturday afternoon, as part of their ongoing seasonal Finnish Strawberry special spanning July and August at Journey East. Grown under the Midnight Sun, Finnish strawberries boast a high concentration of natural sweetness, cultivated with over 20 hours of sunshine daily and nourished with the world's cleanest water and air. Plural SupplyPlural Supply specializes in natural, nontoxic products for our bodies and home. Guided by a curiosity about unique ingredients and sustainable creation, combined with a desire to reduce our environmental impact, led them to create a range of natural products that is considerate to the earth and kind to even the most sensitive skin type.Soil SocialSoil Social produces Magic Compost, a premium organic compost crafted using locally-sourced materials. The Magic Compost helps make gardening easy, as it is packed with beneficial microbes that boost soil and plant health. Soil Social also offers the Magic Composter Kit, an easy and enjoyable home composting system designed for apartments in Singapore.The 3 KeysThe 3 Keys is dedicated to introducing a wide array of plants for home decoration as well as plant styling. They apply the art of miniature greenery to fill our small living spaces with a myriad exotic plant selection ranging from mini bonsai whose height is no more than 10cm, to hardy plants and trees which requires minimal care, perfect for the urban dweller. Their other popular types of plants include those with lush foliage and the ever-artful Kokedama - plants wrapped in moss or string balls that are suspended in the air or placed on a vessel.The NutbakerFounded by a Sport Dietitian, The Nutbaker prides itself on natural food made by hand, not machines. The Nutbaker is all about wholesome and delicious bakes that are also less sweet. Each product features different hand-selected ingredients (including nutritious nuts and seeds) with no preservatives or colorings - just real honest eats for you and your loved ones.The Tender GardenerA sought-after authority on gardening, permaculture, self sufficiency & low impact living, Olivia Choong, a.k.a. 'The Tender Gardener' will be joining Notes From Nature in an exclusive workshop. More details coming soon. Victreebel Carnivorous PlantsVictreebel Carnivorous Plants is a nepenthes (tropical pitcher plant) hobbyist who aims to provide affordable and easy nepenthes plants to plant growers who would like to add a little bit of carnivorous drama into their homes. Most of the nepenthes that they sell are seed grown, from seeds made from their own plants and flowers. These fascinating plants are not just unique to the plant kingdom, but they are unique to the nepenthes world itself as they created the crosses myself. You will not find their plants in your local plant nursery.",https://www.eventbrite.sg/o/journey-east-14572389644,https://www.eventbrite.sg/e/notes-from-nature-tickets-675757076607,Singapore
8160,Youth in Climate: Shaping Policies and Driving Action,2023-08-27 16:00:00,2023-08-27 17:00:00,"6 Bayfront Avenue, Singapore, 018974, Singapore","This event is part of the Waves of Change Festival 2023 held at ArtScience Museum on the 5th to 27th of August 2023.Youth in Climate: Shaping Policies and Driving ActionToday’s youth are the first generation to feel the impacts of climate change and the last that can do something about it. Youth leadership is real, and it is powerful. Putting them at the seat of change is needed now more than ever. While there is often a misconception that youths are apathetic or are disengaged around climate policy and decision making, this session’s panelists represent just a handful of examples that demonstrate that youths are actually highly engaged and want to be empowered to drive change. This panel discussion aims to highlight some of the work that youths in Singapore are doing to push for policy changes and for impactful action to be taken to protect the Earth and climate.    Moderator: Erin Gunanto, Programme Manager, EB Impact  Panelists: Muhd Nasry, Core Member, Singapore Youth Voices for Biodiversity (SYVB)Rishika Selvan, Singapore Youth for Climate ActionAshleen Tan Su Ying, Associate Research, National University SingaporeLocation: ArtScience Cinema, Level 4For the full festival line-up, click HERE!Please note that there are limited seats to all talks. Priority would be given to ticket holders and visitors are highly encouraged to pre-book for events. Event registration begins 15 minutes before the start of the event. 5 minutes after the start of each segment, all unaccounted seats will be released for walk-in guests at a first come first served basis.Notice of Filming and PhotographyPhotography and video recording may occur at the venue for the purpose of promoting our activities. Parents and guardians, please advise facilitators if you would like your child to be excluded from this.CancellationsShould you be unable to attend, please cancel your ticket as soon as possible so that someone else may enjoy the experience. You can also email us at info@coastalnatives.sg. Thank you!",https://www.eventbrite.sg/o/coastal-natives-24443432626,https://www.eventbrite.sg/e/youth-in-climate-shaping-policies-and-driving-action-tickets-677220503757,Singapore
8681,Tottenham Court Rd Vintage Second Life Fashion Pop-Up,2023-08-05 11:00:00,2023-08-05 17:00:00,"79a Tottenham Court Road, London, W1T 4TD, United Kingdom","When you book a ticket in advance, get 10% off your purchase when you buy more than a kilo!♻️What will I find?A great atmosphere with thousands of pre-loved, quality, designer vintage garments for you to give a second life to.We provide a range of products for all aspects of your wardrobe. We have got you covered, from summer skirts to winter jackets, there is something for everyone at our events!🌎Who are we?we are. is a sustainable, second life fashion pop-up visiting cities all over Europe with our incredible stylish finds.👖How does it work?  You can buy as much or as little as you like, weigh and pay!We weigh your vintage finds and that determines the cost. We charge £25 a kilo (but you do not need to buy a whole kilo).W﻿e also have our Premium and Gold Collection Range where you will find hand-picked items which will have individual price tags.👕Do I need to book an early slot to find the best clothes?Not at all! We are always refilling the rails throughout the day so it doesn’t matter if you are an early bird vintage lover or want to join us in the last hour, there will be plenty of incredible one-time pieces for you to discover.📄ADDITIONAL INFORMATIONChildren aged 16 and under do not need a ticket.Cash and card/contactless payments available🛠️Interested in working?Looking to join a friendly team with competitive pay? Look no further! Apply via our email: recruit@weare.shop. We have vacancies available to both van drivers and event staff. All employees get discounts on clothes at all our kilo sale events!⭐SPECIAL OFFEROnce you’ve booked your ticket, share it on Instagram and tag @wearesecondlifefashion to be in with a chance to win a free kilo at this event!📱GET SOCIALFollow us on Instagram: @wearesecondlifefashion. Like our Facebook page: https://www.facebook.com/wearesecondlifefashion Visit our website: https://www.weare.shop/   ",https://www.eventbrite.co.uk/o/we-are-33706723919,https://www.eventbrite.co.uk/e/tottenham-court-rd-vintage-second-life-fashion-pop-up-tickets-679326743577,London
8162,Biodiversity Collage with Climate Designers,2023-09-23 10:00:00,2023-09-23 12:00:00,"111 Middle Road, Singapore, 188969, Singapore","By envisioning a positive future, Singapore can truly embody its title as the ""City in Nature"" by embracing sustainable practices and prioritizing the protection and restoration of its natural ecosystems.
During the workshop, participants would be able to discuss and come up with different “better by design” ideas to solve and improve biodiversity. (These could include; biomimicry, vermicomposting, species monitoring, AI & Technology etc)During this workshop, you will discover the benefits Nature provides to Humans, the functioning of natural ecosystems, their interactions with human activities and the threats resulting from its destruction.A﻿genda of the workshop:- 10 min Icebreaker + Presentation of the workshop- 20 min Recreate an ecosystem and discover the impacts of human disturbance within it.- 60 min Collage: organise and find the link between 40 Biodiversity cards to understand what Biodiversity is, what it enables and what degrades it- 15 min Creativity: decorate your Collage by turning it into a piece of art to reflect on your Biodiversity learnings- 15 min Debriefing and actions: collectively develop an action plan to break Biodiversity loss and regenerate our natural surroundings in Singapore(The 5$ collected during the workshop will be used to pay for workshop material and actions taken by the Biodiversity Collage Association to raise awareness about Biodiversity)Our mission at The Biodiversity Collage is to massively raise awareness about the importance of Biodiversity and reach 250 000 people by 2024.So join us to make an impact together!
",https://www.eventbrite.sg/o/climate-designers-singapore-61289382373,https://www.eventbrite.sg/e/biodiversity-collage-with-climate-designers-tickets-665801278547,Singapore
